year,population,births,deaths,tfr
1817,"25,009,000","987,856","675,243",
1818,"25,369,000","1,002,076","687,500",
1819,"25,733,000","1,067,920","717,951",
1820,"26,101,000","1,041,430","636,864",
1821,"26,473,000","1,080,098","606,232",
1822,"26,851,000","1,065,985","660,535",
1823,"27,217,000","1,056,020","666,817",
1824,"27,571,000","1,064,241","667,218",
1825,"27,930,000","1,092,063","684,285",
1826,"28,259,000","1,099,275","737,560",
1827,"28,558,000","1,030,944","753,931",
1828,"28,863,000","1,041,954","767,756",
1829,"29,143,000","1,028,748","810,175",
1830,"29,392,000","1,043,416","805,341",
1831,"29,642,000","1,037,047","901,117",
1832,"29,906,000","1,019,795","864,283",
1833,"30,185,000","1,107,790","860,273",
1834,"30,467,000","1,145,559","895,730",
1835,"30,802,000","1,121,193","807,012",
1836,"31,129,000","1,142,434","806,241",
1837,"31,455,000","1,141,817","915,341",
1838,"31,824,000","1,155,211","827,424",
1839,"32,223,000","1,172,917","876,466",
1840,"32,621,000","1,187,404","864,457",
1841,"32,979,000","1,201,587","864,075",
1842,"33,298,000","1,251,102","902,529",
1843,"33,605,000","1,209,762","905,608",
1844,"33,922,000","1,216,429","830,345",
1845,"34,284,000","1,278,286","867,729",
1846,"34,610,000","1,244,369","939,436",
1847,"34,784,000","1,156,820","983,981",
1848,"34,839,000","1,160,533","1,011,954",
1849,"35,004,000","1,333,379","947,476",
1850,"35,303,000","1,311,726","903,521",
1851,"35,620,000","1,306,877","889,601",
1852,"35,858,000","1,271,446","1,018,135",
1853,"35,989,000","1,244,192","978,650",
1854,"35,923,000","1,226,769","972,726",
1855,"36,136,000","1,162,945","1,016,284",
1856,"36,257,000","1,215,390","913,913",
1857,"36,524,000","1,315,034","991,753",
1858,"36,828,000","1,354,817","985,176",
1859,"37,188,000","1,393,339","956,924",
1860,"37,609,000","1,367,012","873,364",
1861,"38,001,000","1,357,355","972,989",
1862,"38,360,000","1,358,896","945,530",
1863,"38,763,000","1,454,340","996,193",
1864,"39,187,000","1,481,778","1,027,756",
1865,"39,545,000","1,488,620","1,091,419",
1866,"39,765,000","1,505,287","1,217,591",
1867,"40,031,000","1,471,747","1,045,534",
1868,"40,223,000","1,481,727","1,110,620",
1869,"40,493,000","1,529,387","1,089,503",
1870,"40,804,000","1,569,206","1,117,875",
1871,"40,997,000","1,414,248","1,212,869",4.47
1872,"41,230,000","1,626,037","1,194,732",5.11
1873,"41,564,000","1,648,117","1,174,293",5.17
1874,"42,004,000","1,683,440","1,122,396",5.24
1875,"42,518,000","1,724,412","1,172,393",5.34
1876,"43,059,000","1,761,046","1,134,452",5.42
1877,"43,610,000","1,744,659","1,152,023",5.34
1878,"44,135,000","1,716,852","1,156,337",5.2
1879,"44,655,000","1,737,080","1,143,168",5.22
1880,"45,095,000","1,696,175","1,173,205",5.05
1881,"45,426,000","1,682,649","1,156,391",4.98
1882,"45,717,000","1,702,348","1,176,853",5.01
1883,"46,014,000","1,683,699","1,190,002",4.92
1884,"46,335,000","1,725,583","1,203,500",5.02
1885,"46,705,000","1,729,927","1,199,742",4.99
1886,"47,103,000","1,746,133","1,233,737",4.99
1887,"47,540,000","1,757,079","1,151,924",4.96
1888,"48,020,000","1,761,407","1,142,826",4.92
1889,"48,512,000","1,772,570","1,153,087",4.88
1890,"49,239,000","1,759,253","1,199,006",4.78
1891,"49,767,000","1,840,172","1,164,421",4.92
1892,"50,279,000","1,795,971","1,211,402",4.73
1893,"50,778,000","1,865,715","1,248,201",4.83
1894,"51,339,000","1,841,205","1,144,331",4.7
1895,"52,001,000","1,877,278","1,151,488",4.71
1896,"52,753,000","1,914,749","1,098,966",4.72
1897,"53,549,000","1,926,690","1,142,056",4.67
1898,"54,406,000","1,964,731","1,117,860",4.69
1899,"55,248,000","1,980,304","1,185,197",4.66
1900,"56,046,000","1,996,139","1,236,382",4.63
1901,"56,874,000","2,032,313","1,174,489",4.65
1902,"57,767,000","2,024,735","1,122,492",4.56
1903,"58,629,000","1,983,078","1,170,905",4.4
1904,"59,475,000","2,025,847","1,163,183",4.42
1905,"60,314,000","1,987,153","1,194,314",4.27
1906,"61,153,000","2,022,477","1,112,202",4.28
1907,"62,013,000","1,999,933","1,117,309",4.18
1908,"62,863,000","2,015,052","1,135,490",4.15
1909,"63,857,000","1,978,278","1,094,217",4.01
1910,"64,568,000","1,924,778","1,045,665",3.85
1911,"65,359,000","1,870,729","1,130,784",3.69
1912,"66,146,000","1,869,636","1,029,749",3.64
1913,"66,978,000","1,838,750","1,004,950",3.53
1914,"67,790,000","1,818,596","1,291,310",3.44
1915,"67,883,000","1,382,546","1,450,420",2.58
1916,"67,715,000","1,029,484","1,298,054",1.9
1917,"67,368,000","912,109","1,345,424",1.66
1918,"66,811,000","926,813","1,606,475",1.67
1919,"62,897,000","1,260,500","978,380",2.37
1920,"61,794,000","1,599,287","932,929",3.06
1921,"62,473,000","1,581,130","869,555",2.98
1922,"61,890,000","1,424,804","890,181",2.69
1923,"62,250,000","1,318,489","866,754",2.45
1924,"62,740,000","1,290,763","766,957",2.37
1925,"63,110,000","1,311,259","753,017",2.38
1926,"63,510,000","1,245,471","742,955",2.23
1927,"63,940,000","1,178,892","765,331",2.09
1928,"64,470,000","1,199,998","747,444",2.11
1929,"64,670,000","1,164,062","814,545",2.02
1930,"65,130,000","1,144,151","718,807",1.98
1931,"65,510,000","1,047,775","734,165",1.8
1932,"65,716,000","993,126","707,642",1.7
1933,"66,027,000","971,174","737,877",1.67
1934,"66,409,000","1,198,350","725,000",2.07
1935,"66,871,000","1,263,976","792,018",2.2
1936,"67,349,000","1,278,583","795,793",2.25
1937,"67,831,000","1,277,046","794,367",2.28
1938,"68,424,000","1,348,534","799,220",2.45
1939,"69,314,000","1,413,230","854,348",2.59
1940,"69,838,000","1,402,258","885,591",2.59
1941,"70,244,000","1,308,232","844,435",2.43
1942,"70,834,000","1,055,915","847,861",1.97
1943,"70,411,000","1,124,718","853,246",2.1
1944,"69,000,000","1,090,000","915,000",2.05
1945,"66,000,000","820,000","1,210,000",1.56
1946,"64,260,000","921,998","1,001,331",1.76
