year,population,births,deaths,tfr
1900,"32,377,000","1,067,376","768,917",4.53
1901,"32,550,000","1,057,763","715,036",4.49
1902,"32,787,000","1,093,074","727,181",4.46
1903,"33,004,000","1,042,090","736,311",4.43
1904,"33,237,000","1,085,431","698,604",4.44
1905,"33,489,000","1,084,518","730,340",4.45
1906,"33,718,000","1,070,978","696,875",4.45
1907,"33,952,000","1,062,333","700,333",4.46
1908,"34,198,000","1,138,813","770,054",4.47
1909,"34,455,000","1,115,831","738,460",4.43
1910,"34,751,000","1,144,410","682,459",4.39
1911,"35,033,000","1,093,545","742,811",4.36
1912,"35,246,000","1,133,985","635,788",4.32
1913,"35,351,000","1,122,482","663,966",4.28
1914,"35,701,000","1,114,091","643,355",4.04
1915,"36,271,000","1,109,183","809,703",3.8
1916,"36,481,000","881,626","854,703",3.56
1917,"36,343,000","691,207","948,710",3.32
1918,"35,922,000","640,263","1,268,290",3.08
1919,"35,717,000","770,620","676,329",3.24
1920,"35,960,000","1,158,041","681,749",3.41
1921,"37,869,000","1,118,344","670,234",3.57
1922,"38,196,000","1,127,444","690,054",3.74
1923,"38,571,000","1,107,505","654,827",3.9
1924,"38,927,000","1,124,470","663,077",3.81
1925,"39,265,000","1,109,761","669,695",3.72
1926,"39,590,000","1,094,587","680,274",3.64
1927,"39,926,000","1,093,772","639,843",3.55
1928,"40,281,000","1,072,316","645,654",3.46
1929,"40,607,000","1,037,700","667,223",3.42
1930,"40,956,000","1,092,678","576,751",3.38
1931,"41,339,000","1,026,197","609,405",3.21
1932,"41,584,000","990,995","610,646",3.06
1933,"41,928,000","995,979","574,113",3.04
1934,"42,277,000","992,966","563,339",3
1935,"42,631,000","996,708","594,722",2.98
1936,"42,965,000","962,686","593,380",2.87
1937,"43,269,000","991,867","618,290",2.93
1938,"43,596,000","1,037,180","614,988",3.05
1939,"44,018,000","1,040,213","591,483",3.07
1940,"44,467,000","1,046,479","606,907",3.07
1941,"44,830,000","937,546","621,735",2.74
1942,"45,098,000","926,063","643,607",2.69
1943,"44,641,000","882,105","679,708",2.61
1944,"44,794,000","814,746","685,171",2.39
1945,"44,946,000","815,678","615,092",2.37
1946,"45,253,000","1,036,098","547,952",3.01
1947,"45,641,000","1,011,490","524,019",2.89
1948,"46,381,000","1,005,851","490,450",2.83
1949,"46,733,000","937,146","485,277",2.62
1950,"47,104,000","908,622","455,169",2.5
1951,"47,417,000","860,998","485,208",2.35
1952,"47,666,000","863,661","488,470",2.34
1953,"47,957,000","860,345","484,527",2.31
1954,"48,299,000","881,845","445,902",2.35
1955,"48,633,000","879,130","449,058",2.33
1956,"48,920,000","884,043","499,504",2.34
1957,"49,181,000","885,812","483,558",2.33
1958,"49,475,000","880,361","459,366",2.31
1959,"49,831,000","910,628","454,547",2.38
1960,"50,198,000","923,004","480,848",2.41
1961,"50,523,000","924,203","460,009",2.41
