year,population,births,deaths,tfr
1899,"43,400,000","1,386,981","932,087",4.73
1900,"43,847,000","1,420,534","910,744",4.69
1901,"44,359,000","1,501,591","925,810",5.01
1902,"44,964,000","1,510,853","959,126",4.97
1903,"45,546,000","1,489,816","931,008",4.83
1904,"46,135,000","1,440,371","955,400",4.61
1905,"46,620,000","1,452,770","1,004,661",4.52
1906,"47,038,000","1,394,295","955,256",4.38
1907,"47,416,000","1,614,472","1,016,798",5.03
1908,"47,965,000","1,662,815","1,029,447",5.13
1909,"48,554,000","1,693,850","1,091,264",5.16
1910,"49,184,000","1,712,857","1,064,234",5.01
1911,"49,852,000","1,747,803","1,043,906",5.19
1912,"50,577,000","1,737,674","1,037,016",5.08
1913,"51,305,000","1,757,441","1,027,257",5.07
1914,"52,039,000","1,808,402","1,101,815",5.14
1915,"52,752,000","1,799,326","1,093,793",4.91
1916,"53,496,000","1,804,822","1,187,832",4.98
1917,"54,134,000","1,812,413","1,199,669",4.95
1918,"54,739,000","1,791,992","1,493,162",4.83
1919,"55,033,000","1,778,685","1,281,965",4.77
1920,"55,963,053","2,025,564","1,422,096",5.35
1921,"56,666,000","1,990,876","1,288,570",5.22
1922,"57,390,000","1,969,314","1,286,941",5.12
1923,"58,119,000","2,043,297","1,332,485",5.26
1924,"58,876,000","1,998,520","1,254,946",5.07
1925,"59,736,822","2,086,091","1,210,706",5.1
1926,"60,741,000","2,104,405","1,160,734",5.19
1927,"61,659,300","2,060,737","1,214,323",5
1928,"62,595,300","2,135,852","1,236,711",5.09
1929,"63,461,000","2,077,026","1,261,228",4.87
1930,"64,450,005","2,085,101","1,170,867",4.7
1931,"65,457,500","2,102,784","1,240,891",4.76
1932,"66,433,800","2,182,742","1,175,344",4.86
1933,"67,431,600","2,121,253","1,193,987",4.63
1934,"68,308,900","2,043,783","1,234,684",4.39
1935,"69,254,148","2,190,704","1,161,936",4.59
1936,"70,113,600","2,101,969","1,230,278",4.34
1937,"70,630,400","2,180,734","1,207,899",4.45
1938,"71,012,600","1,928,321","1,259,805",3.88
1939,"71,379,700","1,901,573","1,268,760",3.8
1940,"71,993,000","2,115,867","1,186,595",4.11
1941,"71,678,000","2,277,283","1,149,559",4.36
1942,"72,386,000","2,233,660","1,166,630",4.18
1943,"72,887,700","2,253,535","1,213,811",4.11
1944,"73,064,000","2,149,843","1,279,639",3.95
1945,"71,998,104","1,685,583","2,113,798",3.11
1946,"73,114,000","1,905,809","1,326,592",3.37
1947,"78,101,000","2,678,792","1,138,238",4.541
1948,"80,002,500","2,681,624","950,610",4.4
1949,"81,772,600","2,696,638","945,444",4.316
1950,"83,199,637","2,337,507","904,876",3.65
1951,"84,541,000","2,137,689","838,998",3.262
1952,"85,808,000","2,005,162","765,068",2.976
1953,"86,981,000","1,868,040","772,547",2.695
1954,"88,239,000","1,769,580","721,491",2.481
1955,"89,275,529","1,730,692","693,523",2.37
