year,population,births,deaths,tfr
1935,"127,250,000","2,377,000","1,392,752",2.19
1936,"128,053,000","2,355,000","1,479,228",2.15
1937,"128,825,000","2,413,000","1,450,427",2.17
1938,"129,825,000","2,496,000","1,381,391",2.22
1939,"130,880,000","2,466,000","1,387,897",2.17
1940,"131,930,000","2,559,000","1,417,269",2.301
1941,"133,058,000","2,703,000","1,397,642",2.399
1942,"133,752,000","2,989,000","1,385,187",2.628
1943,"133,971,000","3,104,000","1,459,544",2.718
1944,"132,622,000","2,939,000","1,411,338",2.568
1945,"132,137,000","2,858,000","1,401,719",2.491
1946,"139,893,000","3,411,000","1,395,617",2.943
1947,"143,375,000","3,817,000","1,445,370",3.274
1948,"146,045,000","3,637,000","1,444,337",3.109
1949,"148,558,000","3,649,000","1,443,607",3.11
1950,"151,240,000","3,632,000","1,452,454",3.091
1951,"153,384,000","3,823,000","1,482,099",3.269
1952,"155,761,000","3,913,000","1,496,838",3.358
1953,"158,313,000","3,965,000","1,447,459",3.424
1954,"161,191,000","4,078,000","1,481,091",3.543
1955,"164,302,000","4,097,000","1,528,717",3.58
1956,"167,261,000","4,218,000","1,564,476",3.689
1957,"170,295,000","4,308,000","1,633,128",3.767
1958,"173,239,000","4,255,000","1,647,886",3.701
1959,"176,511,000","4,244,796","1,656,814",3.67
1960,"179,977,000","4,257,850","1,711,982",3.654
1961,"182,953,000","4,268,326","1,701,522",3.629
1962,"185,771,000","4,167,362","1,756,720",3.474
1963,"188,483,000","4,098,020","1,813,549",3.333
1964,"191,141,000","4,027,490","1,798,051",3.208
1965,"193,526,000","3,760,358","1,828,136",2.928
1966,"195,576,000","3,606,274","1,863,149",2.736
1967,"197,457,000","3,520,959","1,851,323",2.578
1968,"199,399,000","3,501,564","1,930,082",2.477
1969,"201,385,000","3,600,206","1,921,990",2.465
1970,"203,984,000","3,731,386","1,921,031",2.48
1971,"206,827,000","3,555,970","1,927,542",2.266
1972,"209,284,000","3,258,411","1,963,944",2.01
1973,"211,357,000","3,136,965","1,973,003",1.879
1974,"213,342,000","3,159,958","1,934,388",1.835
1975,"215,465,000","3,144,198","1,892,879",1.774
1976,"217,563,000","3,167,788","1,909,440",1.738
1977,"219,760,000","3,326,632","1,899,597",1.789
1978,"222,095,000","3,333,279","1,927,788",1.76
1979,"224,567,000","3,494,398","1,913,841",1.808
1980,"227,225,000","3,612,258","1,989,841",1.839
1981,"229,466,000","3,629,238","1,977,981",1.812
1982,"231,664,000","3,680,537","1,974,797",1.827
1983,"233,792,000","3,638,933","2,019,201",1.799
1984,"235,825,000","3,669,141","2,039,369",1.806
1985,"237,924,000","3,760,561","2,086,440",1.844
1986,"240,133,000","3,756,547","2,105,361",1.837
1987,"242,289,000","3,809,394","2,123,323",1.872
1988,"244,499,000","3,909,510","2,167,999",1.934
1989,"246,819,000","4,040,958","2,150,466",2.014
1990,"249,623,000","4,158,212","2,148,463",2.081
1991,"252,981,000","4,110,907","2,169,518",2.062
1992,"256,514,000","4,065,014","2,175,613",2.046
1993,"259,919,000","4,000,240","2,268,553",2.019
1994,"263,126,000","3,952,767","2,278,994",2.001
1995,"266,278,000","3,899,589","2,312,132",1.978
1996,"269,394,000","3,891,494","2,314,690",1.976
1997,"272,647,000","3,880,894","2,314,245",1.971
1998,"275,854,000","3,941,553","2,337,256",1.999
1999,"279,040,000","3,959,417","2,391,399",2.007
2000,"282,162,411","4,058,814","2,403,351",2.056
2001,"284,968,955","4,025,933","2,416,425",2.03
2002,"287,625,193","4,021,726","2,443,387",2.02
2003,"290,107,933","4,089,950","2,448,288",2.047
2004,"292,805,298","4,112,052","2,397,615",2.051
2005,"295,516,599","4,138,349","2,448,017",2.057
2006,"298,379,912","4,265,555","2,426,264",2.108
2007,"301,231,207","4,316,234","2,423,712",2.12
2008,"304,093,966","4,247,694","2,471,984",2.072
2009,"306,771,529","4,130,665","2,437,163",2.002
2010,"309,327,143","3,999,386","2,468,435",1.931
2011,"311,583,481","3,953,590","2,515,458",1.894
2012,"313,877,862","3,952,841","2,543,279",1.88
2013,"316,059,947","3,932,181","2,596,993",1.857
2014,"318,386,329","3,988,076","2,626,418",1.862
2015,"320,738,994","3,978,497","2,712,630",1.843
2016,"323,071,755","3,945,875","2,744,248",1.82
2017,"325,122,128","3,855,500","2,813,503",1.765
2018,"326,838,199","3,791,712","2,839,205",1.729
2019,"328,329,953","3,747,540","2,854,858",1.706
2020,"331,511,512","3,613,647","3,383,729",1.641
2021,"332,031,554","3,664,292","3,464,231",1.664
2022,"333,287,557","3,661,220","3,273,705",1.665
2023,"334,914,865","3,588,013","3,065,607",1.6
