Year,Chinese,Malays,Indians,Total
1980,1.73,2.2,2.03,1.82
1990,1.65,2.69,1.89,1.83
2000,1.43,2.54,1.59,1.6
2007,1.14,1.94,1.25,1.29
2008,1.14,1.91,1.19,1.28
2009,1.08,1.82,1.14,1.22
2010,1.02,1.65,1.13,1.15
2011,1.08,1.64,1.09,1.2
2012,1.18,1.69,1.15,1.29
2013,1.05,1.66,1.11,1.19
2014,1.13,1.73,1.13,1.25
2015,1.1,1.79,1.15,1.24
2016,1.07,1.8,1.04,1.2
2017,1.01,1.82,1,1.16
2018,0.98,1.85,1,1.14
2019,0.99,1.8,0.98,1.14
2020,0.94,1.82,0.96,1.1
2021,0.96,1.82,1.05,1.12
2022,0.87,1.83,1.01,1.04
2023,0.81,1.65,0.95,0.97
